,strategy,commission,profit_factor,loss_factor,total_return,return_rate,sharpe,drawdown,volatility,predict_signal,limit_price,predict_take_profit,predict_stop_loss
240,BBANDS,0.0,6.5,0.1,0,0.0,0,0,0,0.0,1296.9,,
241,BBANDS,0.0,6.5,0.6,0,0.0,0,0,0,0.0,1296.9,,
242,BBANDS,0.0,6.5,1.1,0,0.0,0,0,0,0.0,1296.9,,
243,BBANDS,0.0,6.5,1.6,0,0.0,0,0,0,0.0,1296.9,,
244,BBANDS,0.0,6.5,2.1,0,0.0,0,0,0,0.0,1296.9,,
245,BBANDS,0.0,6.5,2.6,0,0.0,0,0,0,0.0,1296.9,,
246,BBANDS,0.0,6.5,3.1,0,0.0,0,0,0,0.0,1296.9,,
247,BBANDS,0.0,6.5,3.6,0,0.0,0,0,0,0.0,1296.9,,
248,BBANDS,0.0,6.5,4.1,0,0.0,0,0,0,0.0,1296.9,,
249,BBANDS,0.0,6.5,4.6,0,0.0,0,0,0,0.0,1296.9,,
250,BBANDS,0.0,6.5,5.1,0,0.0,0,0,0,0.0,1296.9,,
251,BBANDS,0.0,6.5,5.6,0,0.0,0,0,0,0.0,1296.9,,
252,BBANDS,0.0,6.5,6.1,0,0.0,0,0,0,0.0,1296.9,,
253,BBANDS,0.0,6.5,6.6,0,0.0,0,0,0,0.0,1296.9,,
254,BBANDS,0.0,6.5,7.1,0,0.0,0,0,0,0.0,1296.9,,
255,BBANDS,0.0,6.5,7.6,0,0.0,0,0,0,0.0,1296.9,,
256,BBANDS,0.0,6.5,8.1,0,0.0,0,0,0,0.0,1296.9,,
257,BBANDS,0.0,6.5,8.6,0,0.0,0,0,0,0.0,1296.9,,
258,BBANDS,0.0,6.5,9.1,0,0.0,0,0,0,0.0,1296.9,,
259,BBANDS,0.0,6.5,9.6,0,0.0,0,0,0,0.0,1296.9,,
260,BBANDS,0.0,7.0,0.1,0,0.0,0,0,0,0.0,1296.9,,
261,BBANDS,0.0,7.0,0.6,0,0.0,0,0,0,0.0,1296.9,,
262,BBANDS,0.0,7.0,1.1,0,0.0,0,0,0,0.0,1296.9,,
263,BBANDS,0.0,7.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
264,BBANDS,0.0,7.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
265,BBANDS,0.0,7.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
266,BBANDS,0.0,7.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
267,BBANDS,0.0,7.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
268,BBANDS,0.0,7.0,4.1,0,0.0,0,0,0,0.0,1296.9,,
269,BBANDS,0.0,7.0,4.6,0,0.0,0,0,0,0.0,1296.9,,
270,BBANDS,0.0,7.0,5.1,0,0.0,0,0,0,0.0,1296.9,,
271,BBANDS,0.0,7.0,5.6,0,0.0,0,0,0,0.0,1296.9,,
272,BBANDS,0.0,7.0,6.1,0,0.0,0,0,0,0.0,1296.9,,
273,BBANDS,0.0,7.0,6.6,0,0.0,0,0,0,0.0,1296.9,,
274,BBANDS,0.0,7.0,7.1,0,0.0,0,0,0,0.0,1296.9,,
275,BBANDS,0.0,7.0,7.6,0,0.0,0,0,0,0.0,1296.9,,
276,BBANDS,0.0,7.0,8.1,0,0.0,0,0,0,0.0,1296.9,,
277,BBANDS,0.0,7.0,8.6,0,0.0,0,0,0,0.0,1296.9,,
278,BBANDS,0.0,7.0,9.1,0,0.0,0,0,0,0.0,1296.9,,
279,BBANDS,0.0,7.0,9.6,0,0.0,0,0,0,0.0,1296.9,,
280,BBANDS,0.0,7.5,0.1,0,0.0,0,0,0,0.0,1296.9,,
281,BBANDS,0.0,7.5,0.6,0,0.0,0,0,0,0.0,1296.9,,
282,BBANDS,0.0,7.5,1.1,0,0.0,0,0,0,0.0,1296.9,,
283,BBANDS,0.0,7.5,1.6,0,0.0,0,0,0,0.0,1296.9,,
284,BBANDS,0.0,7.5,2.1,0,0.0,0,0,0,0.0,1296.9,,
285,BBANDS,0.0,7.5,2.6,0,0.0,0,0,0,0.0,1296.9,,
286,BBANDS,0.0,7.5,3.1,0,0.0,0,0,0,0.0,1296.9,,
287,BBANDS,0.0,7.5,3.6,0,0.0,0,0,0,0.0,1296.9,,
288,BBANDS,0.0,7.5,4.1,0,0.0,0,0,0,0.0,1296.9,,
289,BBANDS,0.0,7.5,4.6,0,0.0,0,0,0,0.0,1296.9,,
290,BBANDS,0.0,7.5,5.1,0,0.0,0,0,0,0.0,1296.9,,
291,BBANDS,0.0,7.5,5.6,0,0.0,0,0,0,0.0,1296.9,,
292,BBANDS,0.0,7.5,6.1,0,0.0,0,0,0,0.0,1296.9,,
